"","x"
"1","CL_1"
"2","CL_2"
"3","CL_3"
"4","CL_4"
"5","CL_5"
"6","CL_6"
"7","CLP_1"
"8","CLP_2"
"9","CLP_3"
"10","CLP_4"
"11","CLP_5"
"12","CLP_6"
"13","CS_1"
"14","CS_2"
"15","CS_3"
"16","CS_5"
"17","CS_6"
"18","CS_7"
"19","HC_1"
"20","HC_3"
"21","HC_4"
"22","HC_5"
"23","HC_6"
"24","HC_7"
"25","HC_VA_1"
"26","HC_VA_2"
"27","HC_VA_3"
"28","HC_VA_4"
"29","HC_VA_5"
"30","HC_VA_6"
"31","HI_1"
"32","HI_2"
"33","HI_3"
"34","HI_4"
"35","HI_5"
"36","HI_6"
"37","SL_1"
"38","SL_2"
"39","SL_3"
"40","SL_4"
"41","SL_5"
"42","SL_6"
"43","SM_10"
"44","SM_11"
"45","SM_12"
"46","SM_7"
"47","SM_8"
"48","SM_9"
